method,sequence_length,trial,decode_step,generated_token_position,generated_token_id,latency_ms,phase
standard,8192,4,20,21,15,15.985031146556139,steady
standard,8192,4,21,22,15,16.070869751274586,steady
standard,8192,4,22,23,15,16.023768577724695,steady
standard,8192,4,23,24,15,15.978770796209574,steady
standard,8192,4,24,25,15,15.963878948241472,steady
standard,8192,4,25,26,15,16.00692281499505,steady
standard,8192,4,26,27,15,16.055417247116566,steady
standard,8192,4,27,28,15,16.027534380555153,steady
standard,8192,4,28,29,15,15.964129008352757,steady
standard,8192,4,29,30,15,16.065733041614294,steady
standard,8192,4,30,31,15,15.977448783814907,steady
standard,8192,4,31,32,15,16.0000235773623,steady
standard,8192,5,1,2,34187,16.83319266885519,first_step
standard,8192,5,2,3,198,15.944148879498243,steady
standard,8192,5,3,4,220,15.943408012390137,steady
standard,8192,5,4,5,16,15.949105843901634,steady
standard,8192,5,5,6,15,15.878087840974331,steady
standard,8192,5,6,7,15,15.901734586805105,steady
standard,8192,5,7,8,15,15.95850009471178,steady
standard,8192,5,8,9,15,15.948955900967121,steady
standard,8192,5,9,10,15,15.953101683408022,steady
standard,8192,5,10,11,15,15.96259605139494,steady
standard,8192,5,11,12,15,15.941233839839697,steady
standard,8192,5,12,13,15,15.883637126535177,steady
standard,8192,5,13,14,15,15.991960186511278,steady
standard,8192,5,14,15,15,16.065973322838545,steady
standard,8192,5,15,16,15,15.894613694399595,steady
standard,8192,5,16,17,15,15.874281991273165,steady
standard,8192,5,17,18,15,16.033434309065342,steady
standard,8192,5,18,19,15,16.007343772798777,steady
standard,8192,5,19,20,15,16.026231925934553,steady
standard,8192,5,20,21,15,15.92806400731206,steady
standard,8192,5,21,22,15,15.919992234557867,steady
standard,8192,5,22,23,15,15.928335022181273,steady
standard,8192,5,23,24,15,15.944219194352627,steady
standard,8192,5,24,25,15,15.98492031916976,steady
standard,8192,5,25,26,15,16.05018926784396,steady
standard,8192,5,26,27,15,15.905419830232859,steady
standard,8192,5,27,28,15,16.022956930100918,steady
standard,8192,5,28,29,15,16.015947330743074,steady
standard,8192,5,29,30,15,16.03423524647951,steady
standard,8192,5,30,31,15,15.966030769050121,steady
standard,8192,5,31,32,15,16.017859801650047,steady
layer_offload,8192,1,1,2,34187,29.662928078323603,first_step
layer_offload,8192,1,2,3,198,28.397975023835897,steady
