name,direction,pinned,non_blocking,dedicated_stream,size_mib,bytes,trial,wall_ms,cuda_ms,wall_gib_per_s,cuda_gib_per_s
d2h_pinned_nonblocking_default,d2h,True,True,False,4,4194304,20,0.18215365707874298,0.1664319932460785,21.44480688801857,23.47054748196402
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,1,0.9360467083752155,0.9192000031471252,4.173135768812697,4.249619219566924
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,2,0.9848489426076412,0.9663040041923523,3.9663443102829525,4.042464879636805
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,3,1.087911892682314,1.0699520111083984,3.5905940786885777,3.650864673784189
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,4,1.0570753365755081,1.0386559963226318,3.695337375531486,3.7608698296934717
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,5,1.0146652348339558,0.9969599843025208,3.849791897757526,3.9181612717714405
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,6,1.0156971402466297,0.9983680248260498,3.8458806717241436,3.9126353237130203
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,7,1.07565987855196,1.0567359924316406,3.631491773457745,3.696524040040864
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,8,1.0511730797588825,1.033471941947937,3.7160864135676053,3.7797349317847124
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,9,1.00392522290349,0.9857919812202454,3.890977047775119,3.9625499845968686
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,10,0.9973221458494663,0.9799039959907532,3.916738454326473,3.9863599046256577
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,11,0.9822128340601921,0.964576005935669,3.976989369862598,4.049706789265212
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,12,1.1314451694488525,1.1138240098953247,3.4524430396417753,3.507062125880284
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,13,1.1267364025115967,1.1094080209732056,3.4668712143253897,3.521021955991739
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,14,0.9261979721486568,0.9082239866256714,4.217510853471225,4.300976474440967
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,15,0.9302161633968353,0.9116160273551941,4.199292759798641,4.284972930251041
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,16,0.9199562482535839,0.903007984161377,4.246125842849051,4.325820002165022
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,17,0.92267245054245,0.903328001499176,4.233625917521944,4.324287516292124
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,18,0.9263684041798115,0.9083200097084045,4.2167349214144645,4.300521796557154
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,19,0.9327298030257225,0.9143360257148743,4.187975968311881,4.2722258449194275
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,4194304,20,0.9233420714735985,0.9054080247879028,4.230555631203785,4.314353190005204
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,1,0.18494902178645134,0.16755199432373047,21.120684836658903,23.313658639315616
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,2,0.18511991947889328,0.16662399470806122,21.101186792842014,23.443502280953396
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,3,0.18392689526081085,0.16627199947834015,21.238057623170793,23.49313180965781
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,4,0.1845979131758213,0.16636799275875092,21.160856765913007,23.479576421075336
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,5,0.18420768901705742,0.16620799899101257,21.2056837629524,23.502178136512093
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,6,0.18600095063447952,0.16726399958133698,21.00123675000125,23.3538000393233
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,7,0.1857411116361618,0.1674879938364029,21.03061603104724,23.322567251092067
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,8,0.1838868483901024,0.16624000668525696,21.24268284653603,23.497653049279062
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,9,0.18386729061603546,0.16678400337696075,21.244942408801272,23.421011133610925
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,10,0.18321629613637924,0.16617600619792938,21.320428817600025,23.506702859059768
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,11,0.1867329701781273,0.16793599724769592,20.918908944005825,23.260349561854248
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,12,0.18441816791892052,0.16678400337696075,21.18148143472168,23.421011133610925
